Activity;Resource;Date;Time;Column 5;Column 6;Column 7;Decision Type
4_9-grouped-0;Ammar;15.04.2019;17:49:45;4_9;grouped;0;propagated
10_19-grouped-0;Ammar;15.04.2019;17:49:45;10_19;grouped;0;propagated
20_40-grouped-1;Ammar;15.04.2019;17:49:45;20_40;grouped;1;manual
41_60-grouped-0;Ammar;15.04.2019;17:49:45;41_60;grouped;0;propagated
More60-grouped-0;Ammar;15.04.2019;17:49:45;More60;grouped;0;propagated
Male-grouped-1;Ammar;15.04.2019;17:49:48;Male;grouped;1;manual
Female-grouped-0;Ammar;15.04.2019;17:49:48;Female;grouped;0;propagated
SupportedHeight-optional-1;Ammar;15.04.2019;17:49:51;SupportedHeight;optional;1;propagated
0-5_0-99-grouped-0;Ammar;15.04.2019;17:49:51;0-5_0-99;grouped;0;propagated
1_1-29-grouped-0;Ammar;15.04.2019;17:49:51;1_1-29;grouped;0;propagated
1-3_1-59-grouped-0;Ammar;15.04.2019;17:49:51;1-3_1-59;grouped;0;propagated
1-6_1-99-grouped-1;Ammar;15.04.2019;17:49:51;1-6_1-99;grouped;1;manual
More2-grouped-0;Ammar;15.04.2019;17:49:51;More2;grouped;0;propagated
-500-grouped-0;Ammar;15.04.2019;17:49:53;-500;grouped;0;propagated
501_999-grouped-1;Ammar;15.04.2019;17:49:53;501_999;grouped;1;manual
1000_1999-grouped-0;Ammar;15.04.2019;17:49:53;1000_1999;grouped;0;propagated
More2000-grouped-0;Ammar;15.04.2019;17:49:53;More2000;grouped;0;propagated
Dabster-grouped-1;Ammar;15.04.2019;17:49:55;Dabster;grouped;1;manual
Professional-grouped-0;Ammar;15.04.2019;17:49:55;Professional;grouped;0;propagated
Passionned-grouped-0;Ammar;15.04.2019;17:49:55;Passionned;grouped;0;propagated
SupportedWeight-optional-1;Ammar;15.04.2019;17:50:01;SupportedWeight;optional;1;propagated
Less14-grouped-0;Ammar;15.04.2019;17:50:01;Less14;grouped;0;propagated
15_30-grouped-0;Ammar;15.04.2019;17:50:01;15_30;grouped;0;propagated
31_60-grouped-0;Ammar;15.04.2019;17:50:01;31_60;grouped;0;propagated
61_90-grouped-1;Ammar;15.04.2019;17:50:01;61_90;grouped;1;manual
91_120-grouped-0;Ammar;15.04.2019;17:50:01;91_120;grouped;0;propagated
More121-grouped-0;Ammar;15.04.2019;17:50:01;More121;grouped;0;propagated
Work-grouped-0;Ammar;15.04.2019;17:50:07;Work;grouped;0;propagated
Urban-grouped-1;Ammar;15.04.2019;17:50:07;Urban;grouped;1;manual
Racing-grouped-0;Ammar;15.04.2019;17:50:07;Racing;grouped;0;propagated
Mountain-grouped-0;Ammar;15.04.2019;17:50:07;Mountain;grouped;0;propagated
Accessories-optional-0;Ammar;15.04.2019;17:50:18;Accessories;optional;0;manual
Mudguards-grouped-0;Ammar;15.04.2019;17:50:18;Mudguards;grouped;0;propagated
AirPump-grouped-0;Ammar;15.04.2019;17:50:18;AirPump;grouped;0;propagated
KaskRoad-grouped-0;Ammar;15.04.2019;17:50:18;KaskRoad;grouped;0;propagated
BikeCovers-grouped-0;Ammar;15.04.2019;17:50:18;BikeCovers;grouped;0;propagated
WaterBottles-grouped-0;Ammar;15.04.2019;17:50:18;WaterBottles;grouped;0;propagated
SmallPannier-grouped-0;Ammar;15.04.2019;17:50:18;SmallPannier;grouped;0;propagated
BigPannier-grouped-0;Ammar;15.04.2019;17:50:18;BigPannier;grouped;0;propagated
TheftPreventions-optional-1;Ammar;15.04.2019;17:50:20;TheftPreventions;optional;1;propagated
Lock-grouped-1;Ammar;15.04.2019;17:50:20;Lock;grouped;1;manual
AmovibleSeat-grouped-0;Ammar;15.04.2019;17:50:22;AmovibleSeat;grouped;0;manual
AlarmSystem-grouped-0;Ammar;15.04.2019;17:50:23;AlarmSystem;grouped;0;manual
GPS-grouped-0;Ammar;15.04.2019;17:50:24;GPS;grouped;0;propagated
GeolocalisationSystem-grouped-0;Ammar;15.04.2019;17:50:24;GeolocalisationSystem;grouped;0;manual
24inch-grouped-1;Ammar;15.04.2019;17:50:40;24inch;grouped;1;manual
26inch-grouped-0;Ammar;15.04.2019;17:50:40;26inch;grouped;0;propagated
27-5inch-grouped-0;Ammar;15.04.2019;17:50:40;27-5inch;grouped;0;propagated
29inch-grouped-0;Ammar;15.04.2019;17:50:40;29inch;grouped;0;propagated
20inch-grouped-0;Ammar;15.04.2019;17:50:40;20inch;grouped;0;propagated
15inch-grouped-0;Ammar;15.04.2019;17:50:40;15inch;grouped;0;propagated
Light-optional-1;Ammar;15.04.2019;17:50:46;Light;optional;1;manual
EnergySource-optional-1;Ammar;15.04.2019;17:50:46;EnergySource;optional;1;propagated
LedBlue-grouped-1;Ammar;15.04.2019;17:50:51;LedBlue;grouped;1;manual
LedYellow-grouped-0;Ammar;15.04.2019;17:50:51;LedYellow;grouped;0;propagated
WheelsKind-optional-1;Ammar;15.04.2019;17:50:54;WheelsKind;optional;1;propagated
AllYear-grouped-1;Ammar;15.04.2019;17:50:54;AllYear;grouped;1;manual
Summer-grouped-0;Ammar;15.04.2019;17:50:54;Summer;grouped;0;propagated
Winter-grouped-0;Ammar;15.04.2019;17:50:54;Winter;grouped;0;propagated
Application-optional-1;Ammar;15.04.2019;17:51:01;Application;optional;1;propagated
GoogleMaps-optional-1;Ammar;15.04.2019;17:51:01;GoogleMaps;optional;1;manual
Navigator-optional-1;Ammar;15.04.2019;17:51:02;Navigator;optional;1;manual
Guider-optional-1;Ammar;15.04.2019;17:51:03;Guider;optional;1;manual
Music-optional-1;Ammar;15.04.2019;17:51:04;Music;optional;1;manual
SolarPanel-grouped-0;Ammar;15.04.2019;17:51:09;SolarPanel;grouped;0;propagated
Dynamo-grouped-1;Ammar;15.04.2019;17:51:09;Dynamo;grouped;1;manual
Battery-grouped-0;Ammar;15.04.2019;17:51:09;Battery;grouped;0;propagated
CompUnit-optional-0;Ammar;15.04.2019;17:51:09;CompUnit;optional;0;propagated
Tablet-grouped-0;Ammar;15.04.2019;17:51:09;Tablet;grouped;0;propagated
Basket-optional-1;Ammar;15.04.2019;17:51:12;Basket;optional;1;propagated
Wooden-grouped-1;Ammar;15.04.2019;17:51:12;Wooden;grouped;1;manual
SteelWires-grouped-0;Ammar;15.04.2019;17:51:12;SteelWires;grouped;0;propagated
Engine-grouped-1;Ammar;15.04.2019;17:51:14;Engine;grouped;1;manual
Triathlon-grouped-0;Ammar;15.04.2019;17:51:18;Triathlon;grouped;0;propagated
StepThrough-grouped-0;Ammar;15.04.2019;17:51:18;StepThrough;grouped;0;propagated
Diamond-grouped-1;Ammar;15.04.2019;17:51:18;Diamond;grouped;1;manual
FootPedal-grouped-0;Ammar;15.04.2019;17:51:20;FootPedal;grouped;0;manual
2years-grouped-0;Ammar;15.04.2019;17:51:23;2years;grouped;0;propagated
3years-grouped-0;Ammar;15.04.2019;17:51:23;3years;grouped;0;propagated
LifeTime-grouped-1;Ammar;15.04.2019;17:51:23;LifeTime;grouped;1;manual
Large-grouped-0;Ammar;15.04.2019;17:51:25;Large;grouped;0;manual
XLarge-grouped-0;Ammar;15.04.2019;17:51:28;XLarge;grouped;0;propagated
Large-grouped-1;Ammar;15.04.2019;17:51:28;Large;grouped;1;manual
Medium-grouped-0;Ammar;15.04.2019;17:51:28;Medium;grouped;0;propagated
Small-grouped-0;Ammar;15.04.2019;17:51:28;Small;grouped;0;propagated
Iron-grouped-0;Ammar;15.04.2019;17:51:32;Iron;grouped;0;propagated
Alu-grouped-1;Ammar;15.04.2019;17:51:32;Alu;grouped;1;manual
Carbon-grouped-0;Ammar;15.04.2019;17:51:32;Carbon;grouped;0;propagated
CarbonPost-grouped-0;Ammar;15.04.2019;17:51:32;CarbonPost;grouped;0;propagated
IronPost-grouped-1;Ammar;15.04.2019;17:51:32;IronPost;grouped;1;propagated
White-grouped-1;Ammar;15.04.2019;17:51:38;White;grouped;1;manual
Suspension-grouped-1;Ammar;15.04.2019;17:51:44;Suspension;grouped;1;manual
Static-grouped-0;Ammar;15.04.2019;17:51:44;Static;grouped;0;propagated
Blue-grouped-1;Ammar;15.04.2019;17:51:51;Blue;grouped;1;manual
Red-grouped-0;Ammar;15.04.2019;17:51:55;Red;grouped;0;manual
Plastic-grouped-0;Ammar;15.04.2019;17:52:00;Plastic;grouped;0;propagated
